国家,国家英文,获奖选手,大项项目,小项项目,奖牌类型,获奖时间
日本,Japan(JPN),森重航,速度滑冰,男子500米,铜牌,02-12
日本,Japan(JPN),高木美帆,速度滑冰,女子1500米,银牌,02-07
日本,Japan(JPN),坂本花织,花样滑冰,女子单人滑,铜牌,02-17
日本,Japan(JPN),键山优真,花样滑冰,男子单人滑,银牌,02-10
日本,Japan(JPN),宇野昌磨,花样滑冰,男子单人滑,铜牌,02-10
日本,Japan(JPN),键山优真/宇野昌磨/樋口新叶/坂本花织,花样滑冰,团体赛,铜牌,02-07
日本,Japan(JPN),村濑心椛,单板滑雪,女子大跳台,铜牌,02-15
日本,Japan(JPN),平野步梦,单板滑雪,男子U型场地技巧,金牌,02-11
日本,Japan(JPN),富田濑奈,单板滑雪,女子U型场地技巧,铜牌,02-10
日本,Japan(JPN),小林陵侑,跳台滑雪,男子个人大跳台,银牌,02-12
日本,Japan(JPN),小林陵侑,跳台滑雪,男子个人标准台,金牌,02-06
日本,Japan(JPN),渡部晓斗/渡部善斗/永井秀昭/山本凉太,北欧两项,男子团体大跳台+4×5公里越野滑雪,铜牌,02-17
日本,Japan(JPN),渡部晓斗,北欧两项,男子个人大跳台+10公里越野滑雪,铜牌,02-15
日本,Japan(JPN),日本女子冰壶队,冰壶,女子冰壶,银牌,02-20
日本,Japan(JPN),堀岛行真,自由式滑雪,男子雪上技巧,铜牌,02-05
意大利,Italy(ITA),阿里安娜·丰塔纳,短道速滑,女子1500米,银牌,02-16
意大利,Italy(ITA),安德烈亚·卡西内利/尤里·孔福尔托拉/托马索·多蒂/彼得罗·西盖尔,短道速滑,男子5000米接力,铜牌,02-16
意大利,Italy(ITA),阿里安娜·丰塔纳,短道速滑,女子500米,金牌,02-07
意大利,Italy(ITA),阿里安娜·丰塔纳/马丁娜·瓦尔切皮纳/阿里安娜·瓦尔切皮纳/安德烈亚·卡西内利/尤里·孔福尔托拉/彼得罗·西盖尔,短道速滑,混合2000米接力,银牌,02-05
意大利,Italy(ITA),费代丽卡·布里尼奥内,高山滑雪,女子全能,铜牌,02-17
意大利,Italy(ITA),索菲娅·戈贾,高山滑雪,女子滑降,银牌,02-15
意大利,Italy(ITA),纳迪娅·德拉戈,高山滑雪,女子滑降,铜牌,02-15
意大利,Italy(ITA),费代丽卡·布里尼奥内,高山滑雪,女子大回转,银牌,02-07
意大利,Italy(ITA),弗兰切丝卡·洛洛布里吉达,速度滑冰,女子集体出发,铜牌,02-19
意大利,Italy(ITA),达维德·吉奥托,速度滑冰,男子10000米,铜牌,02-11
意大利,Italy(ITA),弗兰切丝卡·洛洛布里吉达,速度滑冰,女子3000米,银牌,02-05
意大利,Italy(ITA),奥马尔·维辛廷/米凯拉·莫约利,单板滑雪,障碍追逐混合团体,银牌,02-12
意大利,Italy(ITA),奥马尔·维辛廷,单板滑雪,男子障碍追逐,铜牌,02-10
意大利,Italy(ITA),斯特凡尼娅·康斯坦丁尼/阿莫斯·莫萨纳,冰壶,混合双人冰壶,金牌,02-08
意大利,Italy(ITA),费代里科·佩莱格里诺,越野滑雪,男子个人短距离,银牌,02-08
意大利,Italy(ITA),多米尼克·菲施纳勒,雪橇,男子单人,铜牌,02-06
意大利,Italy(ITA),多罗特娅·维雷尔,冬季两项,女子7.5公里短距离,铜牌,02-11
韩国,Republic of Korea(KOR),崔敏静,短道速滑,女子1500米,金牌,02-16
韩国,Republic of Korea(KOR),黄大宪/金东旭/郭润起/李俊瑞/朴章爀,短道速滑,男子5000米接力,银牌,02-16
韩国,Republic of Korea(KOR),崔敏静/金雅朗/李有彬/徐辉旻,短道速滑,女子3000米接力,银牌,02-13
韩国,Republic of Korea(KOR),崔敏静,短道速滑,女子1000米,银牌,02-11
韩国,Republic of Korea(KOR),黄大宪,短道速滑,男子1500米,金牌,02-09
韩国,Republic of Korea(KOR),李承勋,速度滑冰,男子集体出发,铜牌,02-19
韩国,Republic of Korea(KOR),郑在原,速度滑冰,男子集体出发,银牌,02-19
韩国,Republic of Korea(KOR),车旼奎,速度滑冰,男子500米,银牌,02-12
韩国,Republic of Korea(KOR),金敏锡,速度滑冰,男子1500米,铜牌,02-08
斯洛文尼亚,Slovenia(SLO),洛夫罗·科斯/采内·普雷夫奇/蒂米·扎伊茨/彼得·普雷夫茨,跳台滑雪,男子团体,银牌,02-14
斯洛文尼亚,Slovenia(SLO),妮卡·克里兹纳尔/蒂米·扎伊茨/乌尔萨·博加塔伊/彼得·普雷夫茨,跳台滑雪,混合团体,金牌,02-07
斯洛文尼亚,Slovenia(SLO),妮卡·克里兹纳尔,跳台滑雪,女子个人标准台,铜牌,02-05
斯洛文尼亚,Slovenia(SLO),乌尔萨·博加塔伊,跳台滑雪,女子个人标准台,金牌,02-05
斯洛文尼亚,Slovenia(SLO),蒂姆·马斯特纳克,单板滑雪,男子平行大回转,银牌,02-08
斯洛文尼亚,Slovenia(SLO),格洛里娅·科特尼克,单板滑雪,女子平行大回转,铜牌,02-08
斯洛文尼亚,Slovenia(SLO),扎恩·克拉涅茨,高山滑雪,男子大回转,银牌,02-13
芬兰,Finland(FIN),凯尔图·尼斯卡宁,越野滑雪,女子30公里集体出发,铜牌,02-20
芬兰,Finland(FIN),伊沃·尼斯卡宁/乔妮·迈基,越野滑雪,男子团体短距离,银牌,02-16
芬兰,Finland(FIN),伊沃·尼斯卡宁,越野滑雪,男子15公里,金牌,02-11
芬兰,Finland(FIN),克里斯塔·拉廷马奇,越野滑雪,女子10公里,铜牌,02-10
芬兰,Finland(FIN),凯尔图·尼斯卡宁,越野滑雪,女子10公里,银牌,02-10
芬兰,Finland(FIN),伊沃·尼斯卡宁,越野滑雪,男子双追逐,铜牌,02-06
芬兰,Finland(FIN),芬兰男子冰球队,冰球,男子冰球,金牌,02-20
芬兰,Finland(FIN),芬兰女子冰球队,冰球,女子冰球,铜牌,02-16
新西兰,New Zealand(NZL),佐伊·萨多夫斯基·辛诺特,单板滑雪,女子大跳台,银牌,02-15
新西兰,New Zealand(NZL),佐伊·萨多夫斯基·辛诺特,单板滑雪,女子坡面障碍技巧,金牌,02-06
新西兰,New Zealand(NZL),尼科·波蒂奥斯,自由式滑雪,男子U型场地技巧,金牌,02-19
澳大利亚,Australia(AUS),斯科蒂·詹姆斯,单板滑雪,男子U型场地技巧,银牌,02-11
澳大利亚,Australia(AUS),特丝·科迪,单板滑雪,女子坡面障碍技巧,铜牌,02-06
澳大利亚,Australia(AUS),杰卡拉·安东尼,自由式滑雪,女子雪上技巧,金牌,02-06
澳大利亚,Australia(AUS),贾克琳·纳拉科特,钢架雪车,女子单人,银牌,02-12
英国,Great Britain(GBR),英国女子冰壶队,冰壶,女子冰壶,金牌,02-20
英国,Great Britain(GBR),英国男子冰壶队,冰壶,男子冰壶,银牌,02-19
匈牙利,Hungary(HUN),刘少昂,短道速滑,男子500米,金牌,02-13
匈牙利,Hungary(HUN),刘少昂,短道速滑,男子1000米,铜牌,02-07
匈牙利,Hungary(HUN),亚萨帕蒂·彼得拉/科尼亚·佐菲娅/克鲁格·约翰—亨利/刘少昂/刘少林,短道速滑,混合2000米接力,铜牌,02-05
比利时,Belgium(BEL),汉娜·德梅,短道速滑,女子1000米,铜牌,02-11
比利时,Belgium(BEL),巴尔特·斯温斯,速度滑冰,男子集体出发,金牌,02-19
捷克,Czech Republic(CZE),马丁娜·萨布利科娃,速度滑冰,女子5000米,铜牌,02-10
捷克,Czech Republic(CZE),埃丝特·莱德茨卡,单板滑雪,女子平行大回转,金牌,02-08
斯洛伐克,Slovakia(SVK),斯洛伐克男子冰球队,冰球,男子冰球,铜牌,02-19
斯洛伐克,Slovakia(SVK),彼得拉·弗尔霍娃,高山滑雪,女子回转,金牌,02-09
白俄罗斯,Belarus(BLR),汉娜·胡什科娃,自由式滑雪,女子空中技巧,银牌,02-14
白俄罗斯,Belarus(BLR),安东·斯莫利斯基,冬季两项,男子20公里个人,银牌,02-08
西班牙,Spain(ESP),克拉尔特·卡斯特雷特,单板滑雪,女子U型场地技巧,银牌,02-10
乌克兰,Ukraine(UKR),亚历山大·阿布拉缅科,自由式滑雪,男子空中技巧,银牌,02-16
爱沙尼亚,Estonia(EST),凯莉·西尔达鲁,自由式滑雪,女子坡面障碍技巧,铜牌,02-15
拉脱维亚,Latvia(LAT),伊丽莎·季鲁马/克里斯特斯·阿帕约兹,雪橇,混合团体接力,铜牌,02-10
波兰,Poland(POL),达维德·库巴茨基,跳台滑雪,男子个人标准台,铜牌,02-06
